2023-06-23 at 09:36:43 | INFO | ModelAngelo with args: {'volume_path': 'emd_23232.mrc', 'output_dir': 'output', 'mask_path': None, 'device': None, 'config_path': None, 'model_bundle_name': 'nucleotides_no_seq', 'model_bundle_path': None, 'keep_intermediate_results': False, 'pipeline_control': False, 'func': <function main at 0x7f015ef6bca0>}
2023-06-23 at 09:43:29 | INFO | GNN model refinement round 2 with args: {'num_rounds': 3, 'crop_length': 200, 'repeat_per_residue': 1, 'esm_model': 'esm1b_t33_650M_UR50S', 'aggressive_pruning': False, 'seq_attention_batch_size': 200, 'fp16': False, 'batch_size': 1, 'voxel_size': 1.0, 'map': 'emd_23232.mrc', 'struct': 'output/gnn_output_round_1/output.cif', 'output_dir': 'output/gnn_output_round_2', 'model_dir': '/opt/applications/modelangelo/1.0.1/gnu/weights/hub/checkpoints/model_angelo_v1.0/nucleotides_no_seq/gnn', 'device': None, 'refine': False}
2023-06-23 at 09:43:29 | INFO | Loaded module from step: 329999
2023-06-23 at 09:44:16 | INFO | GNN model refinement round 3 with args: {'num_rounds': 3, 'crop_length': 200, 'repeat_per_residue': 1, 'esm_model': 'esm1b_t33_650M_UR50S', 'aggressive_pruning': True, 'seq_attention_batch_size': 200, 'fp16': False, 'batch_size': 1, 'voxel_size': 1.0, 'map': 'emd_23232.mrc', 'struct': 'output/gnn_output_round_2/output.cif', 'output_dir': 'output/gnn_output_round_3', 'model_dir': '/opt/applications/modelangelo/1.0.1/gnu/weights/hub/checkpoints/model_angelo_v1.0/nucleotides_no_seq/gnn', 'device': None, 'refine': False}
2023-06-23 at 09:44:16 | INFO | Loaded module from step: 329999
2023-10-17 at 13:28:23 | INFO | ModelAngelo with args: {'volume_path': 'emd_23232.mrc', 'output_dir': 'output', 'mask_path': None, 'device': None, 'config_path': None, 'model_bundle_name': 'nucleotides_no_seq', 'model_bundle_path': None, 'keep_intermediate_results': False, 'pipeline_control': False, 'func': <function main at 0x7f6ac6c1d1f0>}
2023-10-17 at 13:28:23 | INFO | Initial C-alpha prediction with args: {'model_checkpoint': 'chkpt.torch', 'bfactor': 0, 'batch_size': 4, 'box_size': 64, 'stride': 16, 'dont_mask_input': True, 'threshold': 0.05, 'save_real_coordinates': False, 'save_cryo_em_grid': False, 'do_nucleotides': True, 'save_backbone_trace': False, 'save_output_grid': False, 'crop': 6, 'log_dir': '/opt/applications/modelangelo/1.0.1/gnu/weights/hub/checkpoints/model_angelo_v1.0/nucleotides_no_seq/c_alpha', 'map_path': 'emd_23232.mrc', 'output_path': 'output/see_alpha_output', 'mask_path': None, 'device': None, 'auto_mask': False}
2023-10-17 at 13:28:23 | INFO | Using model file /opt/applications/modelangelo/1.0.1/gnu/weights/hub/checkpoints/model_angelo_v1.0/nucleotides_no_seq/c_alpha/model.py
2023-10-17 at 13:28:23 | INFO | Using checkpoint file /opt/applications/modelangelo/1.0.1/gnu/weights/hub/checkpoints/model_angelo_v1.0/nucleotides_no_seq/c_alpha/chkpt.torch
2023-10-17 at 13:28:24 | INFO | Input structure has shape: (220, 220, 220)
2023-10-17 at 13:28:24 | INFO | Running with these arguments:
2023-10-17 at 13:28:24 | INFO | {'model_checkpoint': 'chkpt.torch', 'bfactor': 0, 'batch_size': 4, 'box_size': 64, 'stride': 16, 'dont_mask_input': True, 'threshold': 0.05, 'save_real_coordinates': False, 'save_cryo_em_grid': False, 'do_nucleotides': True, 'save_backbone_trace': False, 'save_output_grid': False, 'crop': 6, 'log_dir': '/opt/applications/modelangelo/1.0.1/gnu/weights/hub/checkpoints/model_angelo_v1.0/nucleotides_no_seq/c_alpha', 'map_path': 'emd_23232.mrc', 'output_path': 'output/see_alpha_output', 'mask_path': None, 'device': None, 'auto_mask': False}
